Order ID,_date,Status,rto,is_cancelled,Category,_sku_prefix,ship-state,ship-city,_pincode_prefix,Amount,_amount_log,_amount_bucket,_has_promotion,_is_b2b,Fulfilment,Qty
405-8078784-5731545,2022-04-30,Cancelled,0,1,Set,SET,MAHARASHTRA,MUMBAI,400,647.62,6.474847021515814,q3,0,0,Merchant,0
171-9198151-1101146,2022-04-30,Shipped - Delivered to Buyer,0,0,kurta,JNE,KARNATAKA,BENGALURU,560,406.0,6.008813185442595,q1,1,0,Merchant,1
404-0687676-7273146,2022-04-30,Shipped,0,0,kurta,JNE,MAHARASHTRA,NAVI MUMBAI,410,329.0,5.799092654460526,q1,1,1,Amazon,1
403-9615377-8133951,2022-04-30,Cancelled,0,1,Western Dress,J,PUDUCHERRY,PUDUCHERRY,605,753.33,6.625829960698376,q4,0,0,Merchant,0
407-1069790-7240320,2022-04-30,Shipped,0,0,Top,JNE,TAMIL NADU,CHENNAI,600,574.0,6.354370040797351,q3,0,0,Amazon,1
404-1490984-4578765,2022-04-30,Shipped,0,0,Set,SET,UTTAR PRADESH,GHAZIABAD,201,824.0,6.715383386334681,q4,1,0,Amazon,1
408-5748499-6859555,2022-04-30,Shipped,0,0,Set,J,CHANDIGARH,CHANDIGARH,160,653.0,6.483107351457199,q3,1,0,Amazon,1
406-7807733-3785945,2022-04-30,Shipped - Delivered to Buyer,0,0,kurta,JNE,TELANGANA,HYDERABAD,500,399.0,5.991464547107982,q1,1,0,Merchant,1
407-5443024-5233168,2022-04-30,Cancelled,0,1,Set,SET,TELANGANA,HYDERABAD,500,,0.0,,1,0,Amazon,0
402-4393761-0311520,2022-04-30,Shipped,0,0,kurta,JNE,TAMIL NADU,Chennai,600,363.0,5.8971538676367405,q1,0,0,Amazon,1
407-5633625-6970741,2022-04-30,Shipped,0,0,kurta,JNE,TAMIL NADU,CHENNAI,600,685.0,6.530877627725885,q3,0,0,Amazon,1
171-4638481-6326716,2022-04-30,Shipped,0,0,kurta,JNE,UTTAR PRADESH,NOIDA,201,364.0,5.8998973535824915,q1,0,0,Amazon,1
405-5513694-8146768,2022-04-30,Shipped - Delivered to Buyer,0,0,kurta,JNE,MAHARASHTRA,Amravati.,444,399.0,5.991464547107982,q1,1,0,Merchant,1
408-7955685-3083534,2022-04-30,Shipped,0,0,Set,SET,MAHARASHTRA,MUMBAI,400,657.0,6.489204931325317,q3,0,0,Amazon,1
408-1298370-1920302,2022-04-30,Shipped - Delivered to Buyer,0,0,Set,J,MAHARASHTRA,MUMBAI,400,771.0,6.648984550024776,q4,1,0,Merchant,1
403-4965581-9520319,2022-04-30,Shipped - Delivered to Buyer,0,0,kurta,PJNE,ANDHRA PRADESH,GUNTAKAL,515,544.0,6.300785794663244,q3,1,0,Merchant,1
